Wall time,Step,Value
1712652356.5657501,8192,-82.70945739746094
1712652362.4053683,16384,-79.50048065185547
1712652367.6725376,24576,-65.7955551147461
1712652372.8105218,32768,-47.21742248535156
1712652378.1235607,40960,-32.118167877197266
1712652383.7892823,49152,-20.969921112060547
1712652389.0226314,57344,-12.711706161499023
1712652394.5340698,65536,-13.380678176879883
1712652399.8605647,73728,-10.4673433303833
1712652405.3930185,81920,-9.585688591003418
1712652410.7638903,90112,-9.618499755859375
1712652416.1784577,98304,-7.962952136993408
1712652421.6833375,106496,-7.2563958168029785
1712652427.1764874,114688,-8.769919395446777
1712652432.512072,122880,-7.733880996704102
1712652437.5854523,131072,-6.1471943855285645
1712652442.8556113,139264,-6.8865580558776855
1712652448.1674454,147456,-5.507923126220703
1712652453.6596248,155648,-6.045433044433594
1712652459.1200585,163840,-5.7145538330078125
1712652464.560779,172032,-4.790438175201416
1712652469.968651,180224,-4.614536285400391
1712652475.2936482,188416,-4.603247165679932
1712652480.5731032,196608,-5.463040828704834
1712652485.9497256,204800,-5.099806785583496
1712652491.4425375,212992,-5.487059593200684
1712652497.0235162,221184,-4.31436014175415
1712652502.2945795,229376,-4.709099769592285
1712652507.6733587,237568,-4.930551052093506
1712652512.9693367,245760,-5.646686553955078
1712652518.0406055,253952,-4.263528347015381
1712652523.3617606,262144,-4.306035995483398
1712652528.5791764,270336,-4.994174003601074
1712652534.047928,278528,-4.267339706420898
1712652539.3406188,286720,-4.20841646194458
1712652544.625865,294912,-4.226357460021973
1712652550.1158447,303104,-4.914401531219482
1712652555.4896908,311296,-4.182214260101318
1712652561.0921388,319488,-4.110718727111816
1712652566.3829253,327680,-5.67577600479126
1712652571.891307,335872,-4.484333515167236
1712652577.649791,344064,-3.8941612243652344
1712652584.309102,352256,-5.132275104522705
1712652589.7803838,360448,-4.893044948577881
1712652595.726905,368640,-4.857398509979248
1712652601.2716198,376832,-4.201600074768066
1712652606.6956723,385024,-4.998570442199707
1712652612.1265264,393216,-4.6885199546813965
1712652617.577741,401408,-5.065962314605713
1712652623.0900283,409600,-4.113020896911621
1712652629.4284787,417792,-5.65554141998291
1712652635.1089892,425984,-4.104284763336182
1712652641.0142772,434176,-4.06094217300415
1712652646.5763526,442368,-4.413631439208984
1712652652.2471397,450560,-3.9850082397460938
1712652657.7093248,458752,-4.339043140411377
1712652663.1960561,466944,-4.629495143890381
1712652668.9020102,475136,-4.1495795249938965
1712652674.4886703,483328,-4.095420837402344
1712652680.2429378,491520,-4.507979869842529
1712652685.6986985,499712,-4.01655387878418
1712652691.1102314,507904,-5.550472736358643
1712652697.209903,516096,-5.944193363189697
1712652702.5215986,524288,-4.027473449707031
1712652707.8270738,532480,-4.816503047943115
1712652713.1935267,540672,-4.701904296875
1712652718.4109507,548864,-4.717161655426025
1712652723.551617,557056,-3.938164472579956
1712652728.8323002,565248,-4.0298919677734375
1712652734.219383,573440,-4.906111240386963
1712652740.0275946,581632,-4.034150123596191
1712652745.3742194,589824,-4.300424575805664
1712652750.408612,598016,-4.142763137817383
1712652755.52741,606208,-5.54874849319458
1712652760.613835,614400,-4.100011825561523
1712652765.677667,622592,-4.152087688446045
1712652770.727859,630784,-5.995294094085693
1712652775.8113682,638976,-3.9184155464172363
1712652780.8721008,647168,-4.004085540771484
1712652785.9783642,655360,-4.140892028808594
1712652791.0278177,663552,-4.298886299133301
1712652796.1725602,671744,-4.597599029541016
1712652803.1994455,679936,-3.9560067653656006
1712652808.3707106,688128,-4.037651538848877
1712652813.629454,696320,-4.438469886779785
1712652818.8122122,704512,-3.990178346633911
1712652824.3114073,712704,-4.099972724914551
1712652830.9907787,720896,-4.0696024894714355
1712652837.3966131,729088,-4.110118865966797
1712652843.1013033,737280,-4.1533355712890625
1712652848.7593362,745472,-4.097886562347412
1712652854.6508503,753664,-4.315782070159912
1712652860.3926039,761856,-5.250498294830322
1712652866.0670252,770048,-4.278928756713867
1712652871.7297506,778240,-4.057581901550293
1712652877.4996347,786432,-4.797382831573486
1712652883.3281612,794624,-4.108901500701904
1712652888.6437266,802816,-4.297275543212891
1712652894.2127483,811008,-4.389873027801514
1712652899.6595702,819200,-4.313445091247559
1712652905.261408,827392,-4.191161155700684
1712652911.036413,835584,-4.78981876373291
1712652916.4561026,843776,-4.558833599090576
1712652921.9460702,851968,-5.191739082336426
1712652927.4405496,860160,-4.060387134552002
1712652933.2957895,868352,-4.070343017578125
1712652938.795541,876544,-4.453194618225098
1712652944.4291117,884736,-6.409497261047363
1712652950.0713186,892928,-3.6086199283599854
1712652955.3893847,901120,-3.5791714191436768
1712652960.7567508,909312,-46.14723587036133
1712652966.0603545,917504,-44.20991516113281
1712652971.419313,925696,-43.38041305541992
1712652977.0319426,933888,-34.952484130859375
1712652982.5922053,942080,-23.312685012817383
1712652988.2682228,950272,-20.02838134765625
1712652993.6905751,958464,-14.562507629394531
1712652999.2221875,966656,-9.926725387573242
1712653004.8229947,974848,-7.98009729385376
1712653010.5549002,983040,-5.887970447540283
1712653016.1671584,991232,-4.399328708648682
1712653021.6819558,999424,-4.064727783203125
1712653027.1637783,1007616,-3.7124500274658203
